S/N, From Date, To Date, Consumption
01, 28-01-2021, 26-02-2021, 901193
02, 26-02-2021, 31-03-2021, 1196720
03, 31-03-2021, 04-05-2021, 1368837
04, 04-05-2021, 01-06-2021, 1010055
05, 01-06-2021, 01-07-2021, 1182189
06, 01-07-2021, 29-07-2021, 963249
07, 29-07-2021, 31-08-2021, 1173269
08, 31-08-2021, 30-09-2021, 1014862
09, 30-09-2021, 30-10-2021, 1190668
10, 30-10-2021, 25-11-2021, 1095559
11, 25-11-2021, 22-12-2021, 996869
12, 22-12-2021, 27-01-2022, 1113792
13, 27-01-2022, 02-03-2022, 1115812
14, 02-03-2022, 29-03-2022, 1149770
15, 29-03-2022, 26-04-2022, 1268432
16, 26-04-2022, 27-05-2022, 1239955
17, 27-05-2022, 06-07-2022, 1234401
18, 06-07-2022, 28-07-2022, 743982
19, 28-07-2022, 28-08-2022, 1146045
20, 28-08-2022, 28-09-2022, 1070607
21, 28-09-2022, 31-10-2022, 1266069
22, 31-10-2022, 29-11-2022, 1123413
23, 29-11-2022, 22-12-2022, 813708
24, 22-12-2022, 30-01-2023, 1359629
25, 30-01-2023, 01-03-2023, 1061081
26, 01-03-2023, 31-03-2023, 1206024
27, 31-03-2023, 02-05-2023, 1262505
28, 02-05-2023, 26-05-2023, 1054304
29, 26-05-2023, 03-07-2023, 1519733
30, 03-07-2023, 27-07-2023, 1051687
31, 27-07-2023, 28-08-2023, 1256571